,Open,High,Low,Close,Adjusted close,Volume,Dividend amount,Split coefficient,Return,MA_7,MA_30
2000-06-13,118.87,119.94,116.75,119.31,59.8331104055337,4008600.0,0.0,1.0,0.00395489734096266,117.68142857142857,109.856
2000-06-14,118.87,120.0,115.5,116.0,58.1731691144238,5282600.0,0.0,1.0,-0.027742854748135093,118.13714285714286,110.01033333333334
2000-06-15,116.0,119.0,115.87,116.81,58.5793783125504,5386300.0,0.0,1.0,0.006982758620689644,118.77142857142857,110.3
2000-06-16,116.31,117.69,113.25,113.25,56.7940638121423,8046200.0,0.0,1.0,-0.0304768427360671,117.66428571428573,110.48766666666667
2000-06-19,113.5,120.37,113.25,120.37,60.3646928129586,6059200.0,0.0,1.0,0.06286975717439303,117.75285714285715,110.90433333333333
2000-06-20,120.0,120.69,115.37,116.37,58.3587214641854,7103800.0,0.0,1.0,-0.03323087147960457,117.27857142857144,111.125
2000-06-21,115.56,115.94,113.5,114.5,57.4209298586339,6487000.0,0.0,1.0,-0.016069433702844416,116.65857142857143,111.30833333333334
2000-06-22,114.12,114.31,111.25,111.81,56.0719141265839,4853100.0,0.0,1.0,-0.023493449781659348,115.58714285714287,111.602
2000-06-23,113.5,113.62,110.81,111.87,56.1020036968155,3360900.0,0.0,1.0,0.0005366246310705147,114.99714285714286,111.84966666666666
2000-06-26,113.0,115.75,112.87,114.41,57.3757955032865,3625900.0,0.0,1.0,0.022704925359792627,114.6542857142857,112.182
2000-06-27,111.62,112.81,108.75,109.75,55.0388388819657,6607900.0,0.0,1.0,-0.040730705357923225,114.1542857142857,112.36733333333333
2000-06-28,110.0,115.19,109.87,113.78,57.0598550158547,6436600.0,0.0,1.0,0.03671981776765376,113.21285714285715,112.52666666666667
2000-06-29,111.75,114.37,110.06,114.0,57.1701834400372,7688500.0,0.0,1.0,0.0019335559852347028,112.87428571428572,112.73100000000001
2000-06-30,112.69,113.19,108.62,109.56,54.9435552428989,8612600.0,0.0,1.0,-0.03894736842105262,112.16857142857143,112.84766666666665
2000-07-03,108.75,109.87,108.31,109.5,54.9134656726673,2304400.0,0.0,1.0,-0.0005476451259583959,111.83857142857143,112.94966666666666
2000-07-05,105.62,105.62,101.12,105.0,52.6567479052975,14339600.0,0.0,1.0,-0.04109589041095896,110.85714285714286,112.80799999999999
2000-07-06,105.0,105.12,100.0,101.25,50.7761497658225,12932700.0,0.0,1.0,-0.0357142857142857,108.97714285714285,112.604
2000-07-07,102.69,105.06,101.62,105.06,52.6868374755291,9031700.0,0.0,1.0,0.03762962962962968,108.30714285714285,112.452
2000-07-10,104.69,104.94,102.87,103.31,51.8092250104408,4212200.0,0.0,1.0,-0.016657148296211677,106.81142857142856,112.34566666666666
2000-07-11,103.25,104.0,101.0,102.0,51.1522693937175,5619800.0,0.0,1.0,-0.012680282644468077,105.09714285714286,112.181
2000-07-12,103.19,105.87,102.62,104.62,52.466180627164,5550500.0,0.0,1.0,0.025686274509803875,104.39142857142858,111.97033333333334
2000-07-13,105.44,105.94,102.0,104.0,52.1552550681041,5669700.0,0.0,1.0,-0.00592620913783215,103.60571428571428,111.86
2000-07-14,103.75,104.87,103.12,103.94,52.1251654978725,4020000.0,0.0,1.0,-0.0005769230769231415,103.45428571428572,111.79133333333333
2000-07-17,104.44,107.87,104.19,105.5,52.9074943238941,6632700.0,0.0,1.0,0.015008658841639377,104.06142857142858,111.681
2000-07-18,104.12,104.81,102.62,103.31,51.8092250104408,6452700.0,0.0,1.0,-0.020758293838862518,103.81142857142856,111.36433333333335
2000-07-19,102.37,109.5,101.0,108.75,54.5373460447724,7781400.0,0.0,1.0,0.05265705159229506,104.58857142857143,111.24366666666668
2000-07-20,112.0,117.81,111.75,117.25,58.8000351609155,23048400.0,0.0,1.0,0.07816091954022997,106.76714285714286,111.11866666666668
2000-07-21,117.0,117.0,113.75,114.75,57.5463030679322,8966400.0,0.0,1.0,-0.021321961620469065,108.21428571428571,110.95200000000001
2000-07-24,114.12,115.62,111.62,112.5,56.4179441842473,6814400.0,0.0,1.0,-0.019607843137254943,109.42857142857143,110.71233333333335
2000-07-25,113.25,113.37,110.25,112.0,56.1671977656506,5566900.0,0.0,1.0,-0.004444444444444473,110.58,110.48433333333334
2000-07-26,111.0,112.37,108.87,109.87,55.0990180224289,6670400.0,0.0,1.0,-0.019017857142857086,111.2042857142857,110.16966666666667
2000-07-27,109.87,111.5,109.31,110.31,55.3196748707939,4047400.0,0.0,1.0,0.00400473286611458,112.20428571428572,109.98
2000-07-28,111.12,112.5,108.87,111.81,56.0719141265839,5355600.0,0.0,1.0,0.013598041881969003,112.64142857142858,109.81333333333333
2000-07-31,110.5,113.69,110.06,112.25,56.2925709749489,5113500.0,0.0,1.0,0.003935247294517552,111.92714285714285,109.78
2000-08-01,112.0,112.44,110.25,110.5,55.4149585098607,2996500.0,0.0,1.0,-0.015590200445434244,111.32000000000001,109.45100000000001
2000-08-02,111.0,114.87,110.75,114.25,57.2955566493356,5877900.0,0.0,1.0,0.03393665158371051,111.57000000000001,109.38033333333333
2000-08-03,113.0,116.5,112.31,116.0,58.1731691144238,5567400.0,0.0,1.0,0.015317286652078765,112.14142857142858,109.43033333333332
2000-08-04,116.0,116.5,114.31,115.87,58.1079750455887,4460500.0,0.0,1.0,-0.0011206896551724244,112.99857142857142,109.56566666666666
2000-08-07,116.62,119.0,115.81,116.31,58.3286318939538,5910700.0,0.0,1.0,0.003797359109346754,113.85571428571428,109.71366666666667
2000-08-08,115.69,119.62,115.56,118.87,59.6776476260038,5736700.0,0.13,1.0,0.022010145301349926,114.86428571428573,109.86233333333334
2000-08-09,119.0,120.81,118.75,118.75,59.617402671725,6585400.0,0.0,1.0,-0.0010095061832253727,115.79285714285716,110.16233333333335
2000-08-10,118.75,120.25,117.87,119.75,60.1194439573816,5484100.0,0.0,1.0,0.008421052631578885,117.11428571428573,110.36133333333333
2000-08-11,119.75,121.81,119.19,120.62,60.5562198759029,6142400.0,0.0,1.0,0.007265135699373815,118.02428571428572,110.58200000000001
2000-08-14,120.0,123.69,119.31,123.25,61.8765884571798,4949400.0,0.0,1.0,0.02180401260155862,119.06000000000002,111.03833333333334
2000-08-15,122.06,122.62,120.75,122.0,61.249036850109,4378100.0,0.0,1.0,-0.010141987829614618,119.9357142857143,111.455
2000-08-16,121.06,122.94,119.5,122.37,61.434792125802,5946000.0,0.0,1.0,0.003032786885245997,120.80142857142857,112.034
2000-08-17,119.75,122.81,119.5,122.5,61.5000574929374,4338400.0,0.0,1.0,0.0010623518836314627,121.32000000000001,112.74233333333333
